"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.27603644944967e-05,0.890275039117855,0.7,0.416,0.136535900091115,"B_cell","RP11-166O4.6"
2.14087621880691e-05,1.06189908857019,0.58,0.323,0.22907375541234,"B_cell","RPL22L1"
2.30052622227527e-05,1.16551284384475,0.48,0.237,0.246156305783454,"B_cell","TAF7"
2.45099115994974e-05,1.10602149864205,0.52,0.283,0.262256054114622,"B_cell","FAM26F"
2.5383716975157e-05,0.570807474757103,0.82,0.681,0.27160577163418,"B_cell","UBC"
3.08132936581589e-05,1.64150083007952,0.26,0.086,0.3297022421423,"B_cell","PPP3CC"
3.63174128820717e-05,0.944806279479129,0.6,0.345,0.388596317838167,"B_cell","PAPOLA"
3.76337035992869e-05,1.46586962592414,0.32,0.118,0.40268062851237,"B_cell","RP11-94L15.2"
3.7930146625945e-05,0.493192344650518,0.9,0.723,0.405852568897611,"B_cell","NAP1L1"
3.97552734432094e-05,0.897603587924144,0.6,0.35,0.425381425842341,"B_cell","RCSD1"
4.26953587988252e-05,1.33634905787417,0.36,0.145,0.456840339147429,"B_cell","CD27"
4.33212835374996e-05,1.24268251187441,0.42,0.191,0.463537733851246,"B_cell","PDCD4"
5.27189135080915e-05,1.64037285855431,0.26,0.089,0.564092374536579,"B_cell","POLM"
6.19580645186747e-05,0.391807355991556,0.9,0.783,0.662951290349819,"B_cell","PPIA"
6.72483362473088e-05,1.55608587243234,0.3,0.118,0.719557197846205,"B_cell","SDHA"
6.8097452613864e-05,0.672604859598951,0.76,0.525,0.728642742968345,"B_cell","HMGN1"
7.0036071069152e-05,1.5521469543969,0.26,0.089,0.749385960439927,"B_cell","SNHG15"
7.49687268743318e-05,1.37649547024858,0.34,0.138,0.80216537755535,"B_cell","CHD2"
7.70360445078791e-05,0.850763690909185,0.62,0.413,0.824285676234306,"B_cell","UBE2D2"
7.75518300014122e-05,1.2170048575409,0.46,0.244,0.82980458101511,"B_cell","FOXP1"
7.78124594952525e-05,0.634945181700966,0.74,0.542,0.832593316599202,"B_cell","SMDT1"
7.80924303232567e-05,0.430394135597282,0.88,0.754,0.835589004458847,"B_cell","HINT1"
7.96600729945287e-05,0.980445160766658,0.54,0.32,0.852362781041457,"B_cell","PTPN6"
0.000109957946736239,1.50448520597775,0.34,0.15,1,"B_cell","RPA3"
0.000129257712572666,1.26035851143304,0.32,0.128,1,"B_cell","KRCC1"
0.000137555631560381,1.47458591136752,0.32,0.141,1,"B_cell","MGMT"
0.000142006396853123,1.61995988003647,0.26,0.097,1,"B_cell","NASP"
0.000144719945695135,1.15894080439118,0.44,0.237,1,"B_cell","EEF1G"
0.000145749784752357,0.781570678709238,0.66,0.463,1,"B_cell","RPS17"
0.000167527003679416,1.00890738309428,0.46,0.233,1,"B_cell","STK17A"
0.000196826181186405,0.720404187327787,0.68,0.458,1,"B_cell","RAN"
0.000222748607129773,0.955103830853965,0.56,0.327,1,"B_cell","RSL1D1"
0.000266039253066116,0.375885891929872,0.92,0.815,1,"B_cell","LAPTM5"
0.000271751524984333,0.279584846172984,0.98,0.895,1,"B_cell","HNRNPA1"
0.000273040190861953,1.08994009302468,0.42,0.206,1,"B_cell","MED10"
0.000289979466357529,1.54885625909751,0.28,0.117,1,"B_cell","ANXA4"
0.000292009632775909,1.29678456656429,0.38,0.185,1,"B_cell","SH3BP5"
0.0003610078852157,1.3320210649735,0.28,0.113,1,"B_cell","AHSA1"
0.000377361116789586,0.322409627217603,0.98,0.864,1,"B_cell","SLC25A6"
0.000441371135664733,1.20491358540642,0.36,0.175,1,"B_cell","UBE2E1"
0.000452271181050759,0.915415035532492,0.52,0.304,1,"B_cell","SP100"
0.000467252629349945,0.643344855821677,0.72,0.553,1,"B_cell","SON"
0.00048023848543112,1.05607267971133,0.4,0.197,1,"B_cell","RHOH"
0.000518467356847861,0.625254552162345,0.76,0.531,1,"B_cell","CNBP"
